,id,brand,title,sold_price,actual_price,url,img
800,801,CROCS,Women Sienna Red Flats Sandal,"₹1,208","₹2,495",https://www.flipkart.com/crocs-sienna-women-red-flats/p/itmf9zdaynwutuvv?pid=SNDEGHV8RYVS3RHC&lid=LSTSNDEGHV8RYVS3RHCLFH0HN&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_1&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=en_oNL0KtAuyX3WNaVNkGCaFLWo4Kw8haxkj%2FYmu0ECgDBs0vNMpHquhnA3vTqDZzwIobKz6J%2Fc%2BHJA%2BLSAjTUUhQ%3D%3D&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/sandal/a/g/k/flame-202811-crocs-2-original-imaefd8dxpfavb9q.jpeg?q=70
801,802,madam glorious,Women Pink Wedges Sandal,₹489,"₹1,299",https://www.flipkart.com/madam-glorious-women-pink-wedges/p/itmea632700725f0?pid=SNDGF5UKBWSA3YDF&lid=LSTSNDGF5UKBWSA3YDFTEZIPP&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_2&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=en_oNL0KtAuyX3WNaVNkGCaFLWo4Kw8haxkj%2FYmu0ECgDDm8mQ28KiwgOn9RvQAW0Myz0ivvoZq0cteLzaHjRLPJA%3D%3D&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/km82d8w0/sandal/d/j/q/3-10jo-36-madam-glorious-peach-original-imagf5mytrf6gsyu.jpeg?q=70
802,803,ASIAN,Women Multicolor Flats Sandal,₹163,₹499,https://www.flipkart.com/asian-women-multicolor-flats/p/itm9cd8fa40f6c7b?pid=SNDFRGR26ZZHUUZM&lid=LSTSNDFRGR26ZZHUUZMPMBFDV&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_3&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDFRGR26ZZHUUZM.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/k9stjm80/sandal/g/r/a/pf-204cred-8-asian-red-original-imafrguzgvzq6ygg.jpeg?q=70
803,804,NH2,Women Green Flats Sandal,₹239,₹599,https://www.flipkart.com/nh2-women-green-flats/p/itm6538afa3c00b2?pid=SNDFYJYYDXYQUHZN&lid=LSTSNDFYJYYDXYQUHZND7HTM4&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_4&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDFYJYYDXYQUHZN.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/kit6hzk0-0/sandal/m/o/x/5-32-38-nh2-sea-green-original-imafyjyyrkfkhwt7.jpeg?q=70
804,805,NH2,Women Maroon Flats Sandal,₹239,₹699,https://www.flipkart.com/nh2-women-maroon-flats/p/itm05d7aaabcfbc2?pid=SNDG5GT4RZAGQKDD&lid=LSTSNDG5GT4RZAGQKDDPRGQP6&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_5&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDG5GT4RZAGQKDD.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/krtjgcw0/sandal/u/r/w/6-032mar-nh2-maroonog-original-imag5gt4ghbhnjht.jpeg?q=70
805,806,AMAZING TRADERS,"Women Black, Gold Wedges Sandal",₹132,₹499,https://www.flipkart.com/amazing-traders-women-black-gold-wedges/p/itmfcqe8ffhbrndw?pid=SNDF72547EJQMFKY&lid=LSTSNDF72547EJQMFKYRBAQPR&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_6&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDF72547EJQMFKY.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/jjiw1ow0/sandal/x/g/s/klpc10001-7-amazing-traders-black-color-original-imaf722wppgwgwbz.jpeg?q=70
806,807,NH2,Women Pink Flats Sandal,₹239,₹499,https://www.flipkart.com/nh2-women-pink-flats/p/itm676a679d3d0ca?pid=SNDFXYGRF7RMMF2Y&lid=LSTSNDFXYGRF7RMMF2YP3L0WB&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_7&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDFXYGRF7RMMF2Y.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/kgv5x8w0-0/sandal/i/p/l/rg32-37-nh2-antique-rose-gold-original-imafxygrjazhu9an.jpeg?q=70
807,808,CROCS,Women (LiteRide) Black Flats Sandal,"₹1,827","₹3,495",https://www.flipkart.com/crocs-literide-women-black-flats/p/itm18aa0b922cb47?pid=SNDFHX85VZDRFQJM&lid=LSTSNDFHX85VZDRFQJMPLVGJF&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_8&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=en_oNL0KtAuyX3WNaVNkGCaFLWo4Kw8haxkj%2FYmu0ECgDDZ1LuFMaVkow1RzWbiLDlgNZZ69A9MNHOaIpG0K32W8Q%3D%3D&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/k8t3jbk0/sandal/g/z/k/206081-6-crocs-black-white-original-imafqqmhvtwwgyqf.jpeg?q=70
808,809,ASIAN,Women Multicolor Flats Sandal,₹164,₹499,https://www.flipkart.com/asian-women-multicolor-flats/p/itmb9f9dbe515d7b?pid=SNDG6FYJBSTYXFCS&lid=LSTSNDG6FYJBSTYXFCS1SA72Z&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_9&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDG6FYJBSTYXFCS.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/ksyz8280/sandal/1/p/0/6-pff-204cred-asian-multicolor-original-imag6fyjxymhrrbs.jpeg?q=70
809,810,ASIAN,"Women Black, Black Flats Sandal",₹163,₹499,https://www.flipkart.com/asian-women-black-black-flats/p/itmf805e00f43b1e?pid=SNDFVGUYHVJZ8ETP&lid=LSTSNDFVGUYHVJZ8ETPGOFKDY&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_10&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDFVGUYHVJZ8ETP.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/kb6tyfk0/slipper-flip-flop/x/r/p/5-pf-204cblk-asian-black-original-imafsh47e3gr2jcf.jpeg?q=70
810,811,madam glorious,Women Copper Wedges Sandal,₹379,₹999,https://www.flipkart.com/madam-glorious-women-copper-wedges/p/itm539bbe5af3427?pid=SNDG4PC4XTVSFRKH&lid=LSTSNDG4PC4XTVSFRKHSV4VZD&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_11&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=en_oNL0KtAuyX3WNaVNkGCaFLWo4Kw8haxkj%2FYmu0ECgDCYiQ48IViB3pGaUlZzj86IO35%2FMpAW28Cv87M0YgjOxA%3D%3D&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/kqse07k0/sandal/s/i/l/4-r001-madam-glorious-copper-original-imag4pc4y5hxphuq.jpeg?q=70
811,812,madam glorious,Women Black Wedges Sandal,₹379,₹999,https://www.flipkart.com/madam-glorious-women-black-wedges/p/itm461d6abce1be8?pid=SNDG4PC4Y4CWRHHG&lid=LSTSNDG4PC4Y4CWRHHGBL63H4&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_12&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=en_oNL0KtAuyX3WNaVNkGCaFLWo4Kw8haxkj%2FYmu0ECgDCUqnIkS700tjbJUXhhZlxkYQZW4SPOV6GSolU%2BhTAtug%3D%3D&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/kqse07k0/sandal/2/z/2/8-r001-madam-glorious-black-original-imag4pc4kw64pzas.jpeg?q=70
812,813,AMAZING TRADERS,Women Maroon Flats Sandal,₹139,₹499,https://www.flipkart.com/amazing-traders-women-maroon-flats/p/itmfcqe8hqsah7m3?pid=SNDF7254PNTDZ8GH&lid=LSTSNDF7254PNTDZ8GHWQTBRY&marketplace=FLIPKART&store=osp%2Fiko&srno=b_1_13&otracker=nmenu_sub_Women_0_Sandals&fm=organic&iid=790e1df0-f676-453d-a01e-b7b27806dfcf.SNDF7254PNTDZ8GH.SEARCH&ppt=None&ppn=None&ssid=k7ur0q64800000001652877328504,https://rukminim2.flixcart.com/image/612/612/jjiw1ow0/sandal/g/z/g/klpc10001-8-amazing-traders-maroon-color-original-imaf723ngudyad4h.jpeg?q=70
